x-axis	Total diffraction	Diffraction pattern	Interference pattern	From Camera	
-0,009888	0,007991	0,022617	0,353080	0,030139	
-0,009851	0,008803	0,021844	0,402735	0,027175	
-0,009813	0,009560	0,021070	0,453411	0,036223	
-0,009776	0,010247	0,020296	0,504576	0,031313	
-0,009738	0,010856	0,019523	0,555693	0,035543	
-0,009700	0,011374	0,018751	0,606227	0,035976	
-0,009663	0,011797	0,017981	0,655645	0,043603	
-0,009625	0,012117	0,017214	0,703432	0,046876	
-0,009588	0,012332	0,016452	0,749084	0,064602	
-0,009550	0,012440	0,015695	0,792124	0,076923	
-0,009513	0,012442	0,014943	0,832100	0,089677	
-0,009475	0,012341	0,014198	0,868592	0,086867	
-0,009438	0,012140	0,013462	0,901218	0,099960	
-0,009400	0,011845	0,012733	0,929635	0,109317	
-0,009363	0,011464	0,012015	0,953546	0,130624	
-0,009325	0,011005	0,011307	0,972699	0,136738	
-0,009288	0,010478	0,010610	0,986893	0,150480	
-0,009250	0,009893	0,009927	0,995980	0,151190	
-0,009213	0,009261	0,009256	0,999865	0,168483	
-0,009175	0,008594	0,008601	0,998506	0,165364	
-0,009138	0,007902	0,007961	0,991918	0,178550	
-0,009100	0,007197	0,007338	0,980169	0,186116	
-0,009063	0,006490	0,006732	0,963384	0,195874	
-0,009025	0,005791	0,006146	0,941738	0,190223	
-0,008987	0,005110	0,005579	0,915458	0,198561	
-0,008950	0,004456	0,005033	0,884819	0,189050	
-0,008912	0,003835	0,004508	0,850144	0,218695	
-0,008875	0,003255	0,004007	0,811797	0,230182	
-0,008837	0,002721	0,003530	0,770178	0,236389	
-0,008800	0,002236	0,003079	0,725725	0,228607	
-0,008762	0,001802	0,002653	0,678904	0,230862	
-0,008725	0,001422	0,002255	0,630207	0,219158	
-0,008687	0,001095	0,001886	0,580144	0,226292	
-0,008650	0,000818	0,001546	0,529240	0,218448	
-0,008612	0,000591	0,001236	0,478029	0,235123	
-0,008575	0,000410	0,000959	0,427049	0,229503	
-0,008537	0,000269	0,000714	0,376834	0,226415	
-0,008500	0,000165	0,000504	0,327911	0,211654	
-0,008462	0,000092	0,000328	0,280794	0,214989	
-0,008425	0,000045	0,000189	0,235976	0,210604	
-0,008387	0,000017	0,000087	0,193928	0,215422	
-0,008350	0,000004	0,000024	0,155091	0,208010	
-0,008312	0,000000	0,000000	0,119872	0,203841	
-0,008274	0,000002	0,000017	0,088641	0,189112	
-0,008237	0,000005	0,000076	0,061726	0,189390	
-0,008199	0,000007	0,000178	0,039408	0,177130	
-0,008162	0,000007	0,000323	0,021922	0,178643	
-0,008124	0,000005	0,000514	0,009451	0,169348	
-0,008087	0,000002	0,000751	0,002127	0,150264	
-0,008049	0,000000	0,001035	0,000026	0,125560	
-0,008012	0,000004	0,001368	0,003170	0,127196	
-0,007974	0,000020	0,001750	0,011526	0,119445	
-0,007937	0,000055	0,002182	0,025007	0,113763	
-0,007899	0,000116	0,002666	0,043470	0,104993	
-0,007862	0,000214	0,003202	0,066724	0,097706	
-0,007824	0,000359	0,003792	0,094522	0,080258	
